Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34
;;;;;;;Playing Time;Playing Time;Playing Time;Playing Time;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Expected;Expected;Expected;Expected;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;;-additional
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;xG;npxG;xAG;npxG+xAG;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches;-9999
40;Gavin Bazunu;ie IRL;GK;Southampton;20-248;2002;12;12;1080;12.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.1;0.00;0.00;0.00;0.00;0.00;Matches;c91441dc
41;Mads Bech Sørensen;dk DEN;DFMF;Brentford;23-292;1999;3;0;20;0.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;30db8574
42;Jan Bednarek;pl POL;DF;Southampton;26-197;1996;2;2;159;1.8;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.1;0.1;0.03;0.04;0.07;0.03;0.07;Matches;4115ce4e
43;Jan Bednarek;pl POL;DF;Aston Villa;26-197;1996;2;1;91;1.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;4115ce4e
44;Donny van de Beek;nl NED;MF;Manchester Utd;25-191;1997;3;0;22;0.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;50dc94ce
45;Asmir Begović;ba BIH;GK;Everton;35-128;1987;1;1;90;1.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;7b4de647
46;Armel Bella Kotchap;de GER;DF;Southampton;20-319;2001;9;9;761;8.5;0;1;0;0;0;1;0;0.00;0.12;0.12;0.00;0.12;0.7;0.7;0.1;0.8;0.08;0.01;0.10;0.08;0.10;Matches;a39d11bc
47;Saïd Benrahma;dz ALG;MFFW;West Ham;27-077;1995;10;4;508;5.6;1;1;0;1;1;0;0;0.18;0.18;0.35;0.00;0.18;1.8;1.0;0.8;1.8;0.32;0.14;0.46;0.18;0.32;Matches;5a04fd92
48;Rodrigo Bentancur;uy URU;MF;Tottenham;25-123;1997;11;11;969;10.8;1;2;1;0;0;4;0;0.09;0.19;0.28;0.09;0.28;0.6;0.6;0.7;1.3;0.06;0.07;0.12;0.06;0.12;Matches;3b8674e6
49;Owen Bevan;wls WAL;DF;Bournemouth;19-000;2003;1;0;9;0.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;87966294
50;Giulian Biancone;fr FRA;DF;Nott'ham Forest;22-209;2000;2;0;17;0.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;de40e38c
51;Philip Billing;dk DEN;MFFW;Bournemouth;26-137;1996;12;10;897;10.0;3;1;3;0;0;1;0;0.30;0.10;0.40;0.30;0.40;0.7;0.7;0.6;1.4;0.07;0.06;0.14;0.07;0.14;Matches;d328a254
52;Yves Bissouma;ml MLI;MF;Tottenham;26-057;1996;11;4;440;4.9;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.2;0.3;0.02;0.04;0.06;0.02;0.06;Matches;6c203af0
53;Willy Boly;ci CIV;DF;Nott'ham Forest;31-265;1991;1;1;62;0.7;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;a4ac4b8f
54;Sven Botman;nl NED;DF;Newcastle Utd;22-287;2000;10;9;811;9.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.9;1.2;0.04;0.10;0.13;0.04;0.13;Matches;ccce7025
55;Jarrod Bowen;eng ENG;MFFW;West Ham;25-310;1996;12;12;1070;11.9;2;0;1;1;2;0;0;0.17;0.00;0.17;0.08;0.08;3.6;2.6;1.4;4.0;0.31;0.11;0.42;0.22;0.33;Matches;79c84d1c
56;Armando Broja;al ALB;FW;Chelsea;21-046;2001;9;1;183;2.0;1;0;1;0;0;0;0;0.49;0.00;0.49;0.49;0.49;0.7;0.7;0.0;0.7;0.36;0.00;0.36;0.36;0.36;Matches;97220da2
57;Emi Buendía;ar ARG;FWMF;Aston Villa;25-305;1996;12;4;515;5.7;1;0;1;0;0;0;0;0.17;0.00;0.17;0.17;0.17;1.9;1.9;0.8;2.6;0.32;0.14;0.46;0.32;0.46;Matches;66b76d44
58;Hugo Bueno;es ESP;DF;Wolves;20-038;2002;3;2;181;2.0;0;1;0;0;0;0;0;0.00;0.50;0.50;0.00;0.50;0.1;0.1;0.2;0.3;0.03;0.12;0.15;0.03;0.15;Matches;bfc3b3a0
59;Dan Burn;eng ENG;DF;Newcastle Utd;30-170;1992;12;11;954;10.6;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.4;0.4;0.1;0.5;0.03;0.01;0.05;0.03;0.05;Matches;b2d31e83
60;Cafú;pt POR;MF;Nott'ham Forest;29-242;1993;1;0;7;0.1;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;85322440
61;Moisés Caicedo;ec ECU;MF;Brighton;20-358;2001;11;11;975;10.8;1;0;1;0;0;3;0;0.09;0.00;0.09;0.09;0.09;0.5;0.5;0.6;1.1;0.05;0.05;0.10;0.05;0.10;Matches;16264a81
62;Tom Cairney;sct SCO;MF;Fulham;31-279;1991;12;0;224;2.5;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.3;0.6;0.12;0.11;0.23;0.12;0.23;Matches;a8748947
63;Duje Ćaleta-Car;hr CRO;DF;Southampton;26-039;1996;4;3;319;3.5;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.0;0.2;0.06;0.01;0.07;0.06;0.07;Matches;94f8d10c
